Board.isInside(),,int[ ] pos,,,bool,,,,,,,
,TC1.101,"-1,4",,,FALSE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.102,"0,4",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.103,"1,4",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.104,"4,4",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.105,"8,4",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.106,"9,4",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.107,"10,4",,,FALSE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.108,"4,-1",,,FALSE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.109,"4,0",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.110,"4,1",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.111,"4,7",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.112,"4,8",,,TRUE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
,TC1.113,"4,9",,,FALSE,,,健壮边界值,1.0,测试位置是否在棋盘内部,,
